Z75	शून्य सात पाँच
4459	चार चार पाँच नौ
OO66476	शून्य शून्य छः छः चार सात छः
8626	आठ छः दो छः
5	पाँच
134	एक तीन चार
7Z	सात शून्य
67489O9	छः सात चार आठ नौ शून्य नौ
6O5884O	छः शून्य पाँच आठ आठ चार शून्य
4679	चार छः सात नौ
91	नौ एक
8574	आठ पाँच सात चार
3	तीन
3O661	तीन शून्य छः छः एक
4	चार
6	छः
92O2	नौ दो शून्य दो
2	दो
77	सात सात
1565	एक पाँच छः पाँच
29OO1	दो नौ शून्य शून्य एक
235	दो तीन पाँच
5	पाँच
69ZZ312	छः नौ शून्य शून्य तीन एक दो
Z4975ZZ	शून्य चार नौ सात पाँच शून्य शून्य
O238O7O	शून्य दो तीन आठ शून्य सात शून्य
Z8424	शून्य आठ चार दो चार
O	शून्य
54	पाँच चार
855O515	आठ पाँच पाँच शून्य पाँच एक पाँच
Z	शून्य
3175	तीन एक सात पाँच
Z	शून्य
6	छः
Z4Z39	शून्य चार शून्य तीन नौ
O32O4OO	शून्य तीन दो शून्य चार शून्य शून्य
381O	तीन आठ एक शून्य
8O379	आठ शून्य तीन सात नौ
7O8	सात शून्य आठ
8	आठ
OO18837	शून्य शून्य एक आठ आठ तीन सात
726	सात दो छः
7	सात
3	तीन
8712	आठ सात एक दो
O8	शून्य आठ
7	सात
25	दो पाँच
Z2893	शून्य दो आठ नौ तीन
5Z927	पाँच शून्य नौ दो सात
9	नौ
9	नौ
43	चार तीन
3ZZ	तीन शून्य शून्य
645	छः चार पाँच
36Z55	तीन छः शून्य पाँच पाँच
53	पाँच तीन
2	दो
8	आठ
O	शून्य
224	दो दो चार
534	पाँच तीन चार
573	पाँच सात तीन
Z6Z	शून्य छः शून्य
3O886	तीन शून्य आठ आठ छः
78	सात आठ
1	एक
323	तीन दो तीन
99534	नौ नौ पाँच तीन चार
O7	शून्य सात
4	चार
8O5	आठ शून्य पाँच
O174	शून्य एक सात चार
O439	शून्य चार तीन नौ
13OO	एक तीन शून्य शून्य
5	पाँच
7Z	सात शून्य
5424Z18	पाँच चार दो चार शून्य एक आठ
846OO26	आठ चार छः शून्य शून्य दो छः
91	नौ एक
4144	चार एक चार चार
84	आठ चार
496	चार नौ छः
948Z981	नौ चार आठ शून्य नौ आठ एक
3	तीन
4	चार
6	छः
2	दो
Z2	शून्य दो
4O92O	चार शून्य नौ दो शून्य
5	पाँच
8711O61	आठ सात एक एक शून्य छः एक
Z286	शून्य दो आठ छः
762	सात छः दो
31O4O	तीन एक शून्य चार शून्य
Z37ZZ49	शून्य तीन सात शून्य शून्य चार नौ
977O2	नौ सात सात शून्य दो
16	एक छः
56651	पाँच छः छः पाँच एक
O	शून्य
29	दो नौ
Z	शून्य
O7O65	शून्य सात शून्य छः पाँच
95O1275	नौ पाँच शून्य एक दो सात पाँच
1282	एक दो आठ दो
22Z5	दो दो शून्य पाँच
Z	शून्य
6	छः
146	एक चार छः
3Z8Z	तीन शून्य आठ शून्य
26Z7759	दो छः शून्य सात सात पाँच नौ
79	सात नौ
44	चार चार
1Z633	एक शून्य छः तीन तीन
2Z5	दो शून्य पाँच
61157	छः एक एक पाँच सात
8	आठ
7	सात
3	तीन
3521Z73	तीन पाँच दो एक शून्य सात तीन
6378	छः तीन सात आठ
58	पाँच आठ
5173391	पाँच एक सात तीन तीन नौ एक
7	सात
4O5	चार शून्य पाँच
672	छः सात दो
2921967	दो नौ दो एक नौ छः सात
9	नौ
9	नौ
6683472	छः छः आठ तीन चार सात दो
589	पाँच आठ नौ
O9936	शून्य नौ नौ तीन छः
7985	सात नौ आठ पाँच
2	दो
8	आठ
85Z	आठ पाँच शून्य
O	शून्य
6Z9Z1	छः शून्य नौ शून्य एक
Z871	शून्य आठ सात एक
1826394	एक आठ दो छः तीन नौ चार
52142O7	पाँच दो एक चार दो शून्य सात
2195	दो एक नौ पाँच
86O667O	आठ छः शून्य छः छः सात शून्य
1	एक
599	पाँच नौ नौ
ZZ	शून्य शून्य
9Z	नौ शून्य
ZZ2	शून्य शून्य दो
4	चार
57	पाँच सात
9OO1	नौ शून्य शून्य एक
81771OO	आठ एक सात सात एक शून्य शून्य
5	पाँच
3OO4	तीन शून्य शून्य चार
1O5O6	एक शून्य पाँच शून्य छः
Z5	शून्य पाँच
26Z3Z	दो छः शून्य तीन शून्य
62	छः दो
84	आठ चार
4696474	चार छः नौ छः चार सात चार
85Z4317	आठ पाँच शून्य चार तीन एक सात
3	तीन
6543	छः पाँच चार तीन
4	चार
6	छः
2	दो
933	नौ तीन तीन
5	पाँच
6848	छः आठ चार आठ
1238O	एक दो तीन आठ शून्य
41	चार एक
3519558	तीन पाँच एक नौ पाँच पाँच आठ
5O25676	पाँच शून्य दो पाँच छः सात छः
O	शून्य
Z865	शून्य आठ छः पाँच
29	दो नौ
Z	शून्य
769	सात छः नौ
14483	एक चार चार आठ तीन
8Z	आठ शून्य
7ZZ7Z	सात शून्य शून्य सात शून्य
